spam_label,text_clean,thread_id,posted_comment,spam_label_source
NOT_SPAM,For fear of fainting with the of all that housework you just did? Quick have a cuppa,34,For fear of fainting with the of all that housework you just did? Quick have a cuppa,NOT_SPAM
SPAM,Thanks for your subscription to Ringtone UK your mobile will be charged 5 month Please confirm by replying YES or NO. If you reply NO you will not be charged,35,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,SPAM
NOT_SPAM,Yup... Ok i go home look at the timings then i msg u again... Xuhui going to learn on 2nd may too but her lesson is at 8am,36,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,NOT_SPAM
NOT_SPAM,"Oops, I will let you know when my roommate's done",37,"Oops, I'll let you know when my roommate's done",NOT_SPAM
NOT_SPAM,I see the letter B on my car,38,I see the letter B on my car,NOT_SPAM
NOT_SPAM,Anything lor... U decide...,39,Anything lor... U decide...,NOT_SPAM
NOT_SPAM,Hello! How's you and how did saturday go? I was just texting to see if you would decided to do anything tomo. Not that i am trying to invite myself or anything!,40,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,NOT_SPAM
NOT_SPAM,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,41,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,NOT_SPAM
NOT_SPAM,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",42,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",NOT_SPAM
SPAM,07732584351 Rodger Burns MSG We tried to call you re your reply to our sms for a free nokia mobile free camcorder. Please call now 08000930705 for delivery tomorrow,43,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,SPAM
NOT_SPAM,WHO ARE YOU SEEING?,44,WHO ARE YOU SEEING?,NOT_SPAM
NOT_SPAM,Great! I hope you like your man well endowed. I am inches...,45,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,NOT_SPAM
NOT_SPAM,No calls..messages..missed calls,46,No calls..messages..missed calls,NOT_SPAM
NOT_SPAM,Didn't you get hep b immunisation in nigeria.,47,Didn't you get hep b immunisation in nigeria.,NOT_SPAM
NOT_SPAM,"Fair enough, anything going on?",48,"Fair enough, anything going on?",NOT_SPAM
NOT_SPAM,"Yeah hopefully, if tyler cannot do it I could maybe ask around a bit",49,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",NOT_SPAM
NOT_SPAM,U do not know how stubborn I am. I did not even want to go to the hospital. I kept telling Mark I am not a weak sucker. Hospitals are for weak suckers.,50,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,NOT_SPAM
NOT_SPAM,What you thinked about me. First time you saw me in class.,51,What you thinked about me. First time you saw me in class.,NOT_SPAM
NOT_SPAM,"A gram usually runs like , a half eighth is smarter though and gets you almost a whole second gram for",52,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",NOT_SPAM
NOT_SPAM,K fyi x has a ride early tomorrow morning but he is crashing at our place tonight,53,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,NOT_SPAM
NOT_SPAM,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about the cave . I am sorry I did not and do not have more to give. I am sorry i offered. I am sorry your room was so embarassing.",54,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",NOT_SPAM
SPAM,SMS. ac Sptv The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,55,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SPAM
NOT_SPAM,Do you know what Mallika Sherawat did yesterday? Find out now URL,56,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,NOT_SPAM
SPAM,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420 ip4 5we. 150pm. Dont miss out!",57,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",SPAM
NOT_SPAM,"Sorry, I will call later in meeting.",58,"Sorry, I'll call later in meeting.",NOT_SPAM
NOT_SPAM,Tell where you reached,59,Tell where you reached,NOT_SPAM
NOT_SPAM,Yes..gauti and sehwag out of odi series.,60,Yes..gauti and sehwag out of odi series.,NOT_SPAM
NOT_SPAM,Your gonna have to pick up a 1 burger for yourself on your way home. I cannot even move. Pain is killing me.,61,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,NOT_SPAM
NOT_SPAM,Ha ha ha good joke. Girls are situation seekers.,62,Ha ha ha good joke. Girls are situation seekers.,NOT_SPAM
NOT_SPAM,Its a part of checking IQ,63,Its a part of checking IQ,NOT_SPAM
NOT_SPAM,"Sorry my roommates took forever, it ok if I come by now?",64,"Sorry my roommates took forever, it ok if I come by now?",NOT_SPAM
NOT_SPAM,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,65,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,NOT_SPAM
SPAM,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a 1500 Bonus Prize, call 09066364589",66,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",SPAM
NOT_SPAM,Today is song dedicated day.. Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...,67,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",NOT_SPAM
SPAM,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco Entry41 Or 1000. To claim txt DIS to 87121 18 6 1.50 moreFrmMob. ShrAcomOrSglSuplt 10, LS1 3AJ",68,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",SPAM
SPAM,Did you hear about the new Divorce Barbie ? It comes with all of Ken's stuff!,69,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",SPAM
NOT_SPAM,I plane to give on this month end.,70,I plane to give on this month end.,NOT_SPAM
NOT_SPAM,Wah lucky man... Then can save money... Hee...,71,Wah lucky man... Then can save money... Hee...,NOT_SPAM
NOT_SPAM,Finished class where are you.,72,Finished class where are you.,NOT_SPAM
NOT_SPAM,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,73,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,NOT_SPAM
NOT_SPAM,K..k where are you?how did you performed?,74,K..k:)where are you?how did you performed?,NOT_SPAM
NOT_SPAM,U can call me now...,75,U can call me now...,NOT_SPAM
NOT_SPAM,I am waiting machan. Call me once you free.,76,I am waiting machan. Call me once you free.,NOT_SPAM
NOT_SPAM,Thats cool. i am a gentleman and will treat you with dignity and respect.,77,Thats cool. i am a gentleman and will treat you with dignity and respect.,NOT_SPAM
NOT_SPAM,I like you peoples very much but am very shy pa.,78,I like you peoples very much:) but am very shy pa.,NOT_SPAM
NOT_SPAM,Does not operate after or what,79,Does not operate after  &lt;#&gt;  or what,NOT_SPAM
NOT_SPAM,Its not the same here. Still looking for a job. How much do Ta's earn there.,80,Its not the same here. Still looking for a job. How much do Ta's earn there.,NOT_SPAM
NOT_SPAM,"Sorry, I will call later",81,"Sorry, I'll call later",NOT_SPAM
NOT_SPAM,K. Did you call me just now ah?,82,K. Did you call me just now ah? ,NOT_SPAM
NOT_SPAM,Ok i am on the way to home hi hi,83,Ok i am on the way to home hi hi,NOT_SPAM
NOT_SPAM,You will be in the place of that man,84,You will be in the place of that man,NOT_SPAM
NOT_SPAM,Yup next stop.,85,Yup next stop.,NOT_SPAM
NOT_SPAM,"I call you later, do not have network. If urgnt, sms me.",86,"I call you later, don't have network. If urgnt, sms me.",NOT_SPAM
NOT_SPAM,For real when u getting on yo? I only need 2 more tickets and one more jacket and I am done. I already used all my multis.,87,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,NOT_SPAM
NOT_SPAM,Yes I started to send requests to make it but pain came back so I am back in bed. Double coins at the factory too. I gotta cash in all my nitros.,88,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,NOT_SPAM
NOT_SPAM,I am really not up to it still tonight babe,89,I'm really not up to it still tonight babe,NOT_SPAM
NOT_SPAM,"Ela kano.,il download, come wen ur free..",90,"Ela kano.,il download, come wen ur free..",NOT_SPAM
NOT_SPAM,Yeah do! Dont stand to close tho youll catch something!,91,Yeah do! Don‘t stand to close tho- you‘ll catch something!,NOT_SPAM
NOT_SPAM,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i have not done any of y stuff42moro and that includes all my time sheets and that. Sorry.,92,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,NOT_SPAM
NOT_SPAM,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,93,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,NOT_SPAM
SPAM,Please call our customer service representative on 0800 169 6031 between 10am 9pm as you have WON a guaranteed 1000 cash or 5000 prize!,94,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,SPAM
NOT_SPAM,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,95,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,NOT_SPAM
SPAM,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",96,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",SPAM
NOT_SPAM,Watching telugu movie..wat abt u?,97,Watching telugu movie..wat abt u?,NOT_SPAM
NOT_SPAM,i see. When we finish we have loads of loans to pay,98,i see. When we finish we have loads of loans to pay,NOT_SPAM
NOT_SPAM,Hi. Wk been ok on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?,99,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",NOT_SPAM
NOT_SPAM,I see a cup of coffee animation,100,I see a cup of coffee animation,NOT_SPAM
NOT_SPAM,Please do not text me anymore. I have nothing else to say.,101,Please don't text me anymore. I have nothing else to say.,NOT_SPAM
NOT_SPAM,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,102,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,NOT_SPAM
NOT_SPAM,I am still looking for a car to buy. And have not gone 4the driving test yet.,103,I'm still looking for a car to buy. And have not gone 4the driving test yet.,NOT_SPAM
NOT_SPAM,As per your request 'Melle Melle Oru Minnaminunginte Nurungu Vettam ' has been set as your callertune for all Callers. Press 9 to copy your friends Callertune,104,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,NOT_SPAM
NOT_SPAM,"wow. You're right! I did not mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",105,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",NOT_SPAM
NOT_SPAM,Umma my life and vava umma love you lot dear,106,Umma my life and vava umma love you lot dear,NOT_SPAM
NOT_SPAM,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,107,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,NOT_SPAM
NOT_SPAM,"Aight, I will hit you up when I get some cash",108,"Aight, I'll hit you up when I get some cash",NOT_SPAM
NOT_SPAM,How would my ip address test that considering my computer is not a minecraft server,109,How would my ip address test that considering my computer isn't a minecraft server,NOT_SPAM
NOT_SPAM,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,110,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,NOT_SPAM
NOT_SPAM,Dont worry. I guess he is busy.,111,Dont worry. I guess he's busy.,NOT_SPAM
NOT_SPAM,What is the plural of the noun research?,112,What is the plural of the noun research?,NOT_SPAM
NOT_SPAM,Going for dinner.msg you after.,113,Going for dinner.msg you after.,NOT_SPAM
NOT_SPAM,I am ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,114,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,NOT_SPAM
SPAM,GENT! We are trying to contact you. Last weekends draw shows that you won a 1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,115,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,SPAM
NOT_SPAM,"Wa, ur openin sentence very formal... Anyway, i am fine too, juz tt i am eatin too much n puttin on weight...Haha... So anythin special happened?",116,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",NOT_SPAM
NOT_SPAM,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",117,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",NOT_SPAM
SPAM,You are a winner U have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910p min 18,118,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,SPAM
NOT_SPAM,Goodo! Yes we must speak friday egg potato ratio for tortilla needed!,119,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,NOT_SPAM
NOT_SPAM,Hmm...my uncle just informed me that he is paying the school directly. So pls buy food.,120,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,NOT_SPAM
SPAM,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code 45239 Expires,121,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,SPAM
SPAM,"URGENT! Your Mobile No. was awarded 2000 Bonus Caller Prize on 5 9 03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",122,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",SPAM
NOT_SPAM,here is my new address apples pairs all that malarky,123,here is my new address -apples&pairs&all that malarky,NOT_SPAM
SPAM,Todays Voda numbers ending 7548 are selected to receive a 350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,124,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,SPAM
NOT_SPAM,I am going to sao mu today. Will be done only at 12,125,I am going to sao mu today. Will be done only at 12 ,NOT_SPAM
NOT_SPAM,U predict wat time u'll finish buying?,126,Ü predict wat time ü'll finish buying?,NOT_SPAM
NOT_SPAM,"Good stuff, will do.",127,"Good stuff, will do.",NOT_SPAM
NOT_SPAM,"Just so that you know,yetunde has not sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I should not have imposed anything on you in the first place so for that, i apologise.",128,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",NOT_SPAM
NOT_SPAM,Are you there in room.,129,Are you there in room.,NOT_SPAM
NOT_SPAM,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,130,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,NOT_SPAM
NOT_SPAM,K..k how much does it cost?,131,K..k:)how much does it cost?,NOT_SPAM
NOT_SPAM,I am home.,132,I'm home.,NOT_SPAM
NOT_SPAM,"Dear, will call Tmorrow.pls accomodate.",133,"Dear, will call Tmorrow.pls accomodate.",NOT_SPAM
NOT_SPAM,First answer my question.,134,First answer my question.,NOT_SPAM
SPAM,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. 1.50 SP Tyrone,135,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,SPAM
SPAM,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg 150p,136,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,SPAM
NOT_SPAM,I only haf msn. It's yijue hotmail.com,137,I only haf msn. It's yijue@hotmail.com,NOT_SPAM
NOT_SPAM,He is there. You call and meet him,138,He is there. You call and meet him,NOT_SPAM
NOT_SPAM,No no. I will check all rooms befor activities,139,No no. I will check all rooms befor activities,NOT_SPAM
SPAM,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to 69988 If u get nothing u must Age Verify with yr network try again,140,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,SPAM
NOT_SPAM,Got c... I lazy to type... I forgot u in lect... I saw a pouch but like not v nice...,141,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,NOT_SPAM
NOT_SPAM,"K, text me when you are on the way",142,"K, text me when you're on the way",NOT_SPAM
NOT_SPAM,"Sir, Waiting for your mail.",143,"Sir, Waiting for your mail.",NOT_SPAM
NOT_SPAM,A swt thought Nver get tired of doing little things 4 lovable persons.. Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8,144,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",NOT_SPAM
NOT_SPAM,I know you are. Can you pls open the back?,145,I know you are. Can you pls open the back?,NOT_SPAM
NOT_SPAM,Yes see ya not on the dot,146,Yes see ya not on the dot,NOT_SPAM
NOT_SPAM,Whats the staff name who is taking class for us?,147,Whats the staff name who is taking class for us?,NOT_SPAM
SPAM,"FreeMsg Why have not you replied to my text? I am Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",148,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",SPAM
NOT_SPAM,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,149,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,NOT_SPAM
NOT_SPAM,K..i deleted my contact that why?,150,K..i deleted my contact that why?,NOT_SPAM
NOT_SPAM,Sindu got job in birla soft ..,151,Sindu got job in birla soft ..,NOT_SPAM
NOT_SPAM,The wine is flowing and i am i have nevering..,152,The wine is flowing and i'm i have nevering..,NOT_SPAM
NOT_SPAM,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,153,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,NOT_SPAM
NOT_SPAM,Ok... Ur typical reply...,154,Ok... Ur typical reply...,NOT_SPAM
NOT_SPAM,As per your request 'Melle Melle Oru Minnaminunginte Nurungu Vettam ' has been set as your callertune for all Callers. Press 9 to copy your friends Callertune,155,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,NOT_SPAM
